frac, phi, Eg, dge, Ed, s, Ce, ge, Y
0.225898,0.5,116.7819,0.66902146,10000,0.9,0.84441,2.85146,1
0.226907,0.5,118.2333,0.6797547344,5000,0.9,0.851067,2.83602,1
0.235549,0.45,140.2145,0.6727605453,7000,1,0.808455,2.83076,1
0.21369,0.45,144.8404,0.6516411711,5000,0.8,0.888564,2.81906,1
0.218677,0.45,138.5244,0.6378582444,7000,0.85,0.858538,2.84688,1
0.214916,0.45,141.9014,0.6488102405,5000,0.8,0.885161,2.8231,1
0.221934,0.45,143.915,0.6644601354,7000,0.9,0.851092,2.82238,1
0.213882,0.45,137.9299,0.6486339743,5000,0.8,0.883341,2.82591,1
0.216283,0.45,147.7806,0.6082084585,10000,0.8,0.874996,2.86515,1
0.215632,0.4,176.7984,0.6138161639,10000,0.85,0.857101,2.84125,1
0.219953,0.45,131.7353,0.6558478711,5000,0.85,0.860361,2.82991,1
0.216872,0.5,119.7289,0.6668134798,5000,0.8,0.890542,2.83302,1
0.206264,0.4,159.7572,0.6197078476,5000,0.75,0.890737,2.82419,1
0.22297,0.5,107.0346,0.6366892241,10000,0.85,0.845838,2.88409,1
0.234277,0.5,112.4591,0.6642983719,10000,0.95,0.816359,2.86568,1
0.233607,0.5,116.6441,0.6680052948,10000,0.95,0.821543,2.859,1
0.200222,0.45,141.6774,0.5971507274,5000,0.65,0.928605,2.85326,1
0.201844,0.45,140.7006,0.6053406078,5000,0.65,0.930337,2.84534,1
0.238598,0.5,115.387,0.7148331439,5000,1,0.815663,2.81765,1
0.236865,0.5,123.057,0.6940228394,10000,1,0.815827,2.83489,1
0.202634,0.4,185.3187,0.5995214089,7000,0.7,0.913125,2.82731,1
0.235207,0.5,111.3463,0.669081029,10000,0.95,0.816236,2.86239,1
0.237105,0.5,120.8035,0.6824724291,10000,1,0.809085,2.8481,1
0.236562,0.55,97.9379,0.7058502138,10000,0.95,0.827224,2.85265,1
0.235352,0.45,133.3529,0.678356435,7000,1,0.805129,2.82866,1
0.223826,0.5,117.2947,0.6755459869,5000,0.85,0.869091,2.83267,1
0.209931,0.45,140.584,0.6370853925,5000,0.75,0.901173,2.82855,1
0.201251,0.45,159.7382,0.5997490493,7000,0.65,0.936354,2.84175,1
0.230966,0.45,140.9635,0.6645479978,7000,1,0.807436,2.83972,1
0.233465,0.5,112.259,0.6759460928,10000,0.95,0.820022,2.85443,1
0.196431,0.4,175.3646,0.5797883451,7000,0.6,0.937051,2.83586,1
0.202648,0.45,144.8393,0.6197954859,5000,0.65,0.935641,2.82721,1
0.212993,0.45,160.8971,0.6333424741,7000,0.8,0.891197,2.83166,1
0.241286,0.55,102.0877,0.7106753574,10000,1,0.812684,2.84994,1
0.228627,0.45,143.3261,0.6844371441,7000,0.95,0.835841,2.80922,1
0.216083,0.45,145.6152,0.6388416157,10000,0.85,0.863618,2.84363,1
0.230609,0.45,140.3134,0.6430346924,10000,0.95,0.819287,2.85495,1
0.217599,0.45,151.1675,0.6554705809,7000,0.85,0.873232,2.82107,1
0.189356,0.4,151.5337,0.5492555064,5000,0.5,0.954204,2.85718,1
0.201692,0.4,156.1293,0.6004007012,5000,0.7,0.902007,2.83737,1
0.239245,0.5,112.8776,0.6805306161,10000,1,0.800272,2.85633,1
0.237897,0.55,91.9611,0.7012222092,7000,0.95,0.818066,2.86082,1
0.244339,0.55,95.7271,0.7174620912,7000,1,0.805872,2.84725,1
